,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
0,501,,,8,130,,11866809.054181794,6068374.61537094,"11866809.054181794,6068374.61537094","(47.768180489362265, 106.60135947099427)"
1,209,'Ундран оргилох булаг' хүнсний дэлгүүр,88101089,8,133,,11884852.382972015,6084329.228003215,"11884852.382972015,6084329.228003215","(47.864423062460425, 106.76344545128077)"
2,470,Яармаг 20-504,95056071,8,122,,11890601.206695983,6085348.161616356,"11890601.206695983,6085348.161616356","(47.870563487924606, 106.81508801345025)"
3,201,'Баясах' супер маркет,99112979,8,133,,11884740.549082484,6083143.558234495,"11884740.549082484,6083143.558234495","(47.85727691488655, 106.76244083035827)"
4,504,,,8,130,,11867859.81396543,6069664.343234492,"11867859.81396543,6069664.343234492","(47.77596710725669, 106.61079860673007)"
5,490,яармаг худалдааны төв,0,8,122,,11891368.769239627,6085202.6702851355,"11891368.769239627,6085202.6702851355","(47.86968675434799, 106.82198314509498)"
6,476,яармаг 21-518,99026881,8,122,,11891082.580882158,6085378.462057665,"11891082.580882158,6085378.462057665","(47.870746077103995, 106.81941227133848)"
7,499,,,8,130,,11863523.742841717,6066507.440530554,"11863523.742841717,6066507.440530554","(47.756905520604114, 106.57184701709545)"
8,207,“Уул дөвхөн” ХХК Хүнсний дэлгүүр,88282282,8,133,,11885732.439018821,6084328.332196951,"11885732.439018821,6084328.332196951","(47.864417663720374, 106.77135112925805)"
9,502,,,8,130,,11867483.82444876,6067436.464288074,"11867483.82444876,6067436.464288074","(47.76251575268277, 106.60742103543512)"
10,479,яармаг 21-518,80405900,8,122,,11891073.822044635,6085443.5349121215,"11891073.822044635,6085443.5349121215","(47.87113820120194, 106.8193335893623)"
11,210,'Тэлмүүн дөл' хүнсний дэлгүүр,99087743,8,133,,11885804.09864913,6084520.022009342,"11885804.09864913,6084520.022009342","(47.86557290457247, 106.77199485866964)"
12,204,'Баярлаг' хүнсний дэлгүүр,95327674,8,133,,11884760.52419107,6083771.177915817,"11884760.52419107,6083771.177915817","(47.86105976275311, 106.76262026981173)"
13,497,,,8,130,,11862415.144176459,6066119.889294872,"11862415.144176459,6066119.889294872","(47.75456497926509, 106.56188830584588)"
14,503,,,8,130,,11867563.316060679,6067487.661347224,"11867563.316060679,6067487.661347224","(47.762824906287634, 106.60813512073459)"
15,205,,93063636,8,133,,11884771.273286618,6083938.384025239,"11884771.273286618,6083938.384025239","(47.862067516445244, 106.76271683057995)"
16,199,Мини хайпермаркет-2,91919795,8,133,,11887270.345997892,6083295.835139577,"11887270.345997892,6083295.835139577","(47.85819475780815, 106.78516638270658)"
17,491,Ахуйн үйлчилгээний байр,0,8,122,,11891051.239722727,6085384.176527159,"11891051.239722727,6085384.176527159","(47.87078051218371, 106.81913072891308)"
18,500,,,8,130,,11863575.778852684,6066524.438083985,"11863575.778852684,6066524.438083985","(47.75700817165719, 106.57231446453522)"
19,477,яармаг 21-565,88201182,8,122,,11891090.153714642,6085468.213635105,"11891090.153714642,6085468.213635105","(47.8712869125436, 106.81948029925013)"
20,202,Дэврэх,88005508,8,133,,11884718.72266676,6083267.171325962,"11884718.72266676,6083267.171325962","(47.858021989065705, 106.76224476032986)"
21,208,“Өлзийбадам” дэлгүүр,99087743,8,133,,11884857.593365833,6084450.750905604,"11884857.593365833,6084450.750905604","(47.86515543721516, 106.76349225704479)"
22,203,,99092134,8,133,,11884740.22067485,6083701.906921518,"11884740.22067485,6083701.906921518","(47.86064225970778, 106.76243788022232)"
23,206,“Хөх тэнгэр” хүнсний дэлгүүр,88111702,8,133,,11884766.227191478,6083903.151194683,"11884766.227191478,6083903.151194683","(47.861855169283935, 106.76267150073606)"
24,200,,96656361,8,133,,11885730.647522097,6083449.9035713645,"11885730.647522097,6083449.9035713645","(47.85912338254879, 106.77133503596917)"
0,593,,,9,148,,11900768.692195263,6100871.06397561,"11900768.692195263,6100871.06397561","(47.96401959756896, 106.90642408970092)"
1,23,Бум жүр хүнсний дэлгүүр,0,7,108,,11902533.331419978,6095950.940684011,"11902533.331419978,6095950.940684011","(47.93441611725967, 106.92227611356611)"
2,687,,,3,10,,11899662.747770589,6091214.474906275,"11899662.747770589,6091214.474906275","(47.90590165027547, 106.89648922190021)"
