,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
174,222,,,7,108,,11903546.612389455,6095178.316584869,"11903546.612389455,6095178.316584869","(47.92976583909773, 106.93137857138599)"
175,225,Чингис хаан дээд сургуулийн урд,96345454,7,105,,11902382.583596548,6094839.17618639,"11902382.583596548,6094839.17618639","(47.927724485187134, 106.92092192282776)"
176,274,,,8,119,,11900047.998844538,6090124.16583452,"11900047.998844538,6090124.16583452","(47.899335547213376, 106.89994999117974)"
177,82,,,3,11,,11897621.113960406,6092237.773149174,"11897621.113960406,6092237.773149174","(47.912063440392615, 106.87814891333758)"
178,251,Оюутны гудамж 10/1- байр,88194194,7,105,,11903051.085892152,6093406.635648921,"11903051.085892152,6093406.635648921","(47.919100848088085, 106.92692718112387)"
179,33,бага тойруу ,88095929,7,105,,11902626.083070517,6093589.753152754,"11902626.083070517,6093589.753152754","(47.920203262758, 106.92310931581918)"
180,39,амарын гудамж ,0,7,105,,11902518.13165166,6093610.05666431,"11902518.13165166,6093610.05666431","(47.92032549369497, 106.92213957172416)"
181,16,,,3,10,,11898615.527805777,6092607.119247322,"11898615.527805777,6092607.119247322","(47.91428727765296, 106.88708188489797)"
182,182,,,4,32,,11904483.651255667,6094950.093305462,"11904483.651255667,6094950.093305462","(47.928392126384786, 106.93979613473931)"
183,88,,,3,24,,11898910.940107431,6093587.693046736,"11898910.940107431,6093587.693046736","(47.92019086051832, 106.88973561875488)"
184,53,,,3,26,,11897594.122140419,6093903.861508855,"11897594.122140419,6093903.861508855","(47.92209422148414, 106.87790644169318)"
185,337,2018 ond nuulgeed avsan bhgui,0,9,135,,11899528.630377825,6092841.711916753,"11899528.630377825,6092841.711916753","(47.91569971328388, 106.89528442486235)"
186,302,,,3,21,,11897637.977161825,6094068.585972758,"11897637.977161825,6094068.585972758","(47.92308584898496, 106.87830039805333)"
187,351,Бөмбөгөрийн автобусны буудал Гуталчин Түц-4,0,3,23,,11899970.707281405,6093623.492742912,"11899970.707281405,6093623.492742912","(47.92040638124235, 106.89925566925477)"
188,388,,,7,104,,11903086.463441256,6094334.981086138,"11903086.463441256,6094334.981086138","(47.924689485066864, 106.92724498305462)"
189,400,,,3,8,,11899288.014955668,6090827.344351481,"11899288.014955668,6090827.344351481","(47.903570352466744, 106.89312293974916)"
190,145,,0,4,34,,11905621.193220237,6094254.994118732,"11905621.193220237,6094254.994118732","(47.92420798751202, 106.95001484807032)"
191,2,,,7,108,,11903060.818693336,6096128.298505527,"11903060.818693336,6096128.298505527","(47.93548354139124, 106.92701461236447)"
192,245,,,7,113,,11906475.864995636,6104091.495413366,"11906475.864995636,6104091.495413366","(47.983387161808075, 106.95769249525779)"
193,394,,,7,104,,11903052.126337416,6094682.05769806,"11903052.126337416,6094682.05769806","(47.92677873025999, 106.9269365276027)"
194,48,,,9,134,,11900916.997948552,6093053.798222215,"11900916.997948552,6093053.798222215","(47.916976609406184, 106.90775634294994)"
195,309,,,3,21,,11897717.99716425,6094080.529196414,"11897717.99716425,6094080.529196414","(47.923157745453764, 106.87901922996546)"
196,380,,,7,104,,11903224.775599184,6095182.208895682,"11903224.775599184,6095182.208895682","(47.929789267227584, 106.92848746230906)"
197,263,,,8,119,,11900192.534696955,6090563.705568075,"11900192.534696955,6090563.705568075","(47.901982661241945, 106.90124837883303)"
198,117,,,4,53,,11915013.439772218,6093383.731411504,"11915013.439772218,6093383.731411504","(47.91896295701009, 107.03438683436896)"
199,240,Батмөнх гудамж ,0,7,105,,11902543.280465234,6094624.986951773,"11902543.280465234,6094624.986951773","(47.926435195817895, 106.92236548736027)"
200,140,,0,4,34,,11905164.959784813,6093537.202638903,"11905164.959784813,6093537.202638903","(47.919886897494905, 106.94591643338866)"
201,257,,,7,107,,11902264.712023878,6095101.65692298,"11902264.712023878,6095101.65692298","(47.92930441630343, 106.91986306447484)"
202,17,,,3,10,,11898625.978191614,6092606.2234667,"11898625.978191614,6092606.2234667","(47.91428188426275, 106.88717576231119)"
203,31,бага тойруу ,0,7,105,,11902709.224252341,6093390.897414596,"11902709.224252341,6093390.897414596","(47.919006098756235, 106.9238561857629)"
204,326,,,7,102,,11899667.071922721,6092749.889948995,"11899667.071922721,6092749.889948995","(47.91514687613848, 106.89652806641973)"
