,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
51,233,{0C8016F8-5351-4A2A-85A1-5119872D0A8E},1,1,2,1,2,11908500.550596423,6094025.254741578,"11908500.550596423,6094025.254741578","(47.92282500043848, 106.97588055546504)"
52,310,{DABDE89B-75DF-4BF7-ACBD-E63B01CC56F6},1,1,2,1,2,11911326.519633334,6092336.113136307,"11911326.519633334,6092336.113136307","(47.912655555963006, 107.00126666724809)"
53,611,{E45CBEC8-AB15-4E4F-B757-19D7DEF6DDAE},1,1,2,1,2,11905088.299093124,6098766.868002035,"11905088.299093124,6098766.868002035","(47.95136111123398, 106.9452277786783)"
54,559,{BF5DD6DC-17F6-4B03-9211-B99B87D31C63},10,1,2,1,2,11903908.62159886,6091017.696816902,"11903908.62159886,6091017.696816902","(47.90471666695844, 106.934630555444)"
55,794,{C791AFAB-891B-47C0-9D3C-704F5C69AA4C},1,1,2,1,2,11904836.982869962,6098970.096779296,"11904836.982869962,6098970.096779296","(47.952583836419066, 106.94297016663417)"
56,625,{BE85CC25-580B-46A4-8202-690DF8B1726E},1,1,2,1,2,11904960.899974408,6092383.170177453,"11904960.899974408,6092383.170177453","(47.91293888903927, 106.94408333292303)"
57,482,{1F3E436D-6ACA-49E1-A4BC-1E0323135833},1,1,2,1,2,11907859.226595016,6093493.699820945,"11907859.226595016,6093493.699820945","(47.91962499982053, 106.97011944393967)"
58,539,{25E82063-5DCE-4D37-816E-3911AAC1E241},7,1,2,1,2,11904427.803350935,6103165.57365319,"11904427.803350935,6103165.57365319","(47.97781944412637, 106.93929444447524)"
59,8511,{91400D2F-2799-408B-BC92-11BA77A2C1E6},8,1,2,1,2,11899834.227381235,6094674.800399865,"11899834.227381235,6094674.800399865","(47.926735045450826, 106.8980296494518)"
60,788,{EAC9B119-F32E-45DC-A1CB-B858CD370536},2,1,2,1,2,11898534.731927205,6094032.934819687,"11898534.731927205,6094032.934819687","(47.92287123363594, 106.8863560831718)"
61,282,{D94C5D49-A1FE-47B6-A0BD-9A2BC11CA8BA},1,1,2,1,2,11906394.447665658,6094169.223207117,"11906394.447665658,6094169.223207117","(47.92369166736776, 106.95696111093866)"
62,766,{F22C5ABE-760C-414F-ACFD-D1C5CA600D29},7,1,2,1,2,11902078.96207299,6093006.008771698,"11902078.96207299,6093006.008771698","(47.91668888889252, 106.91819444427577)"
63,620,{482C7EF5-E5A6-4306-B80C-F2699641C912},2,1,2,1,2,11897399.214810072,6092565.864995832,"11897399.214810072,6092565.864995832","(47.91403889005409, 106.8761555593548)"
64,73,{544711EF-1872-476F-9F7F-D4F1E29B7E9E},11,2,2,1,2,11903345.839702006,6093278.687927277,"11903345.839702006,6093278.687927277","(47.9183305558154, 106.92957499964831)"
65,666,{FFA1FDA4-1D0B-4464-9689-D382573E8206},10,1,2,1,2,11918942.318909477,6088236.676994329,"11918942.318909477,6088236.676994329","(47.887966667222784, 107.06968055615354)"
66,36,{CAA0490D-5F35-4E3C-AB94-C9327D65A4AE},11,2,1,1,2,11903889.449893601,6095257.3701436855,"11903889.449893601,6095257.3701436855","(47.9302416667048, 106.93445833308543)"
67,534,{1AEC7FA5-3B50-432E-B2A9-67D08E79EC21},10,1,2,1,2,11911259.418622931,6092355.950899478,"11911259.418622931,6092355.950899478","(47.91277500043355, 107.00066388861585)"
68,179,{8D086F29-5D66-4E83-BC0B-E4BB4C54D0AA},1,1,2,1,2,11904864.423182636,6092304.280439858,"11904864.423182636,6092304.280439858","(47.91246388863789, 106.94321666715692)"
69,626,{39DD07F7-6C81-4A74-B028-D905D3F8F422},1,1,2,1,2,11910770.849774793,6094195.986710303,"11910770.849774793,6094195.986710303","(47.92385277773736, 106.99627499997956)"
70,752,{56C19547-51D3-4107-ADE3-79C7388CDC40},2,1,2,1,2,11897399.214951737,6092565.86469349,"11897399.214951737,6092565.86469349","(47.91403888823372, 106.87615556062741)"
71,554,{051294F3-6FF9-49E0-BA1C-8431DD9C17EF},7,1,2,1,2,11901734.490155827,6095621.039610346,"11901734.490155827,6095621.039610346","(47.93243055631948, 106.91510000039439)"
72,42,{936287AC-EAB6-411A-BC84-35CACB59EB55},11,2,1,1,2,11901261.691566642,6090793.98270329,"11901261.691566642,6090793.98270329","(47.903369443913384, 106.91085277840465)"
73,5,{52267445-1927-453B-9BEF-28EA939F1484},11,2,2,1,2,11899548.608159663,6094436.863138029,"11899548.608159663,6094436.863138029","(47.92530277797349, 106.89546388833004)"
74,732,{4928092B-1634-4F64-B1DC-5F3EC0F49F1D},10,1,2,1,2,11914987.384696612,6090389.928598745,"11914987.384696612,6090389.928598745","(47.900936111164086, 107.0341527776425)"
75,8512,{50970AED-E934-468F-B98B-6067CFDED4DB},8,1,2,1,2,11899834.227232298,6094674.800403537,"11899834.227232298,6094674.800403537","(47.92673504547294, 106.89802964811388)"
76,6491,{E4BBE615-6DEE-40DF-A895-ED6A9B3BC82E},8,1,2,1,2,11901675.547172554,6094569.6334998775,"11901675.547172554,6094569.6334998775","(47.92610199636191, 106.91457050656672)"
77,7722,{E8CAA124-7450-4AA9-8F6F-219D75A3A954},8,1,2,1,2,11900552.483099082,6095632.744212267,"11900552.483099082,6095632.744212267","(47.932501003591724, 106.90448185034427)"
78,6545,{A8D16320-00EB-459E-B14B-E95678C82984},1,1,2,1,2,11903962.352834051,6093823.192334422,"11903962.352834051,6093823.192334422","(47.92160859286447, 106.93511323134207)"
79,5735,{D07C4985-677C-43E3-8952-131B526FD75F},8,1,3,1,2,11900696.0093578,6101664.119602789,"11900696.0093578,6101664.119602789","(47.968789681094705, 106.90577116866307)"
80,22,{A8834AC5-6719-4457-898E-FCE3C8F25D02},11,1,3,1,2,11899419.353989381,6091748.843764263,"11899419.353989381,6091748.843764263","(47.909119443742696, 106.89430277836303)"
81,76,{ED2F5605-E1F1-49E2-8318-902A777C5872},11,2,2,1,2,11901944.760248667,6093056.760494398,"11901944.760248667,6093056.760494398","(47.91699444396899, 106.91698888877629)"
82,763,{DE31E9F0-6488-4448-9807-B665F998EE9C},1,1,2,1,2,11903538.484402295,6095175.685168976,"11903538.484402295,6095175.685168976","(47.92975000038915, 106.93130555643503)"
83,7696,{5D0E7F1F-E005-4445-B0E3-225959EE978E},11,2,2,1,2,11903539.59474631,6095168.011874084,"11903539.59474631,6095168.011874084","(47.92970381416876, 106.93131553082503)"
84,437,{892758A6-DFD2-40E7-9154-D7FA74FB9CEF},7,1,2,1,2,11899698.27097996,6092729.647328662,"11899698.27097996,6092729.647328662","(47.91502499958021, 106.8968083323194)"
85,4144,{6EA9BDAB-BD44-4871-BE0A-D9DDB1C87FEB},10,1,2,1,2,11902497.875728477,6102752.133205598,"11902497.875728477,6102752.133205598","(47.975333165750776, 106.92195760967026)"
86,53,{3014519A-4A4B-4A8C-9215-4E037B33D10F},11,2,1,1,2,11908196.895791037,6092906.35157104,"11908196.895791037,6092906.35157104","(47.916088888962996, 106.97315277793729)"
87,388,{21258BD7-8767-45BF-B14A-BB6446E4EAFA},1,1,2,1,2,11912406.62775146,6092186.639349904,"11912406.62775146,6092186.639349904","(47.911755555646124, 107.01096944355824)"
88,6494,{07047660-1ECE-46BD-9525-C444B6F704ED},8,1,2,1,2,11901680.955207737,6094520.670865055,"11901680.955207737,6094520.670865055","(47.925807264565464, 106.91461908777336)"
89,735,{40F59E7F-6666-442D-B737-EA9499A12D35},1,1,2,1,2,11907118.333578553,6093333.1324557755,"11907118.333578553,6093333.1324557755","(47.918658333273314, 106.9634638887338)"
