,OBJECTID,Discrict,Khoroo,Khoroonii_surguuliin_nasnii_hun,School_name,Umchiin_helber,Huchin_chadal,Bulgiin_too,Student_number,Bagsh_ajilchidiin_too,Huyg,Zahiramjiin_dugaar,Uil_ajillagaa_ehlesen_on,Surguuliin_angilal,Surguuliin_hev_shinj,Barilgiin_ashiglaltand_orson,Surguuliin_zahiral,Utasnii_dugaar,Hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,x,y,xy,lat_lon
0,192,5,13.0,748.0,26-р сургууль,1,,21.0,610.0,50.0,,,,,,,,,,,,11862049.16522049,6066055.115658369,"11862049.16522049,6066055.115658369","(47.75417378104517, 106.55860066094776)"
1,209,5,5.0,1109.0,41-р сургууль,1,,42.0,1278.0,86.0,,,,,,,,,,,,11890878.084642991,6085167.693159703,"11890878.084642991,6085167.693159703","(47.86947597930201, 106.8175752503666)"
2,189,5,8.0,2127.0,118-р сургууль,1,,38.0,1488.0,83.0,,,,,,,,,,,,11888467.511987109,6083897.966442893,"11888467.511987109,6083897.966442893","(47.861823920874606, 106.79592070776398)"
3,190,5,16.0,2322.0,Буянт-Ухаа цогцолбор сургууль,1,,64.0,2747.0,139.0,,,,,,,,,,,,11884867.366677266,6083553.28126009,"11884867.366677266,6083553.28126009","(47.85974646699035, 106.76358005219517)"
4,207,5,9.0,1764.0,114-р сургууль,1,,43.0,1421.0,96.0,,,,,,,,,,,,11884842.382950258,6084604.336676686,"11884842.382950258,6084604.336676686","(47.86608102852586, 106.7633556195569)"
5,193,5,4.0,1762.0,63-р тусгай сургууль,1,,20.0,251.0,68.0,,,,,,,,,,,,11892209.301921679,6084691.479138651,"11892209.301921679,6084691.479138651","(47.86660618900295, 106.82953377864588)"
6,216,5,14.0,955.0,59-р сургууль,1,,24.0,759.0,64.0,,,,,,,,,,,,11878640.778013138,6071798.663296703,"11878640.778013138,6071798.663296703","(47.788850314724094, 106.70764565454604)"
7,233,5,,,Алтан босго сургууль,2,,,,,,,,,,,,,,,,11892287.919747401,6082634.109072626,"11892287.919747401,6082634.109072626","(47.85420611243939, 106.83024001459039)"
8,210,5,7.0,887.0,60-р сургууль,1,,40.0,1270.0,96.0,,,,,,,,,,,,11889323.076717826,6084505.730008758,"11889323.076717826,6084505.730008758","(47.865486773064184, 106.80360637650556)"
9,191,5,10.0,2191.0,135-р бага сургууль,1,180.0,9.0,191.0,28.0,,,,,,,,,,,,11880112.732723104,6080992.804051079,"11880112.732723104,6080992.804051079","(47.8443115951045, 106.72086844868099)"
10,206,5,12.0,1133.0,10-р сургууль,2,,27.0,806.0,61.0,,,,,,,,,,,,11875412.729496231,6081081.882738541,"11875412.729496231,6081081.882738541","(47.844848649533574, 106.67864760133988)"
0,23,6,11.0,2177.0,29-р тусгай сургууль,1,,33.0,301.0,143.0,,,,,,,,,,,,11903303.729249146,6095665.119865294,"11903303.729249146,6095665.119865294","(47.93269586460518, 106.92919671501406)"
1,238,1,1.0,2792.0,Эрхэт эрдэм сургууль,2,,12.0,148.0,26.0,,,,,,,,,,,,11898170.690905029,6092193.646064058,"11898170.690905029,6092193.646064058","(47.9117977442959, 106.88308584702914)"
2,215,6,1.0,1358.0,АШУҮИС-ийн харьяа ЕБСургууль,1,,7.0,214.0,16.0,,,,,,,,,,,,11902606.098750135,6092814.651875742,"11902606.098750135,6092814.651875742","(47.91553679214608, 106.92292979361476)"
3,92,7,1.0,825.0,23-р сургууль,1,,64.0,3483.0,149.0,,,,,,,,,,,,11901066.34758337,6093365.260991413,"11901066.34758337,6093365.260991413","(47.91885175870988, 106.9090979735463)"
4,115,1,3.0,2351.0,Соёмбо бага сургууль,2,,5.0,130.0,12.0,,,,,,,,,,,,11900067.782759259,6090841.018268282,"11900067.782759259,6090841.018268282","(47.903652698498064, 106.90012771310947)"
5,138,3,13.0,2130.0,55-р тусгай сургууль,1,,40.0,502.0,122.0,,,,,,,,,,,,11907409.543850414,6092742.498722864,"11907409.543850414,6092742.498722864","(47.91510237515423, 106.96607987511486)"
6,161,3,1.0,1498.0,Эрхэм баян эрдэм сургууль,2,,11.0,234.0,24.0,,,,,,,,,,,,11903487.264016684,6093346.500828607,"11903487.264016684,6093346.500828607","(47.918738815813896, 106.93084543588252)"
7,29,6,11.0,2177.0,Шинэ зууны удирдагч сургууль,2,,13.0,144.0,23.0,,,,,,,,,,,,11902122.271510953,6095626.888326518,"11902122.271510953,6095626.888326518","(47.93246575839158, 106.91858349957646)"
8,232,5,15.0,4680.0,Этүгэн сургууль,2,,12.0,210.0,19.0,,,,,,,,,,,,11899777.590568777,6088674.439101068,"11899777.590568777,6088674.439101068","(47.89060365472674, 106.89752087230904)"
9,175,3,14.0,2394.0,Г.В.Плехановын нэрэмжит ЭЗИС-ийн харьяа сургууль,2,,54.0,1197.0,105.0,,,,,,,,,,,,11905420.36355189,6093106.890930408,"11905420.36355189,6093106.890930408","(47.917296256764494, 106.94821076446452)"
10,169,3,,,Гёте сургууль,2,,22.0,454.0,,,,,,,,,,,,,11904892.737107685,6092478.333068767,"11904892.737107685,6092478.333068767","(47.913511865388664, 106.94347101547316)"
11,221,7,17.0,2662.0,37-р сургууль,1,,58.0,1787.0,117.0,,,,,,,,,,,,11900383.114695843,6102018.006723092,"11900383.114695843,6102018.006723092","(47.97091810479147, 106.90296038809151)"
12,75,1,4.0,3355.0,Шинэ эрин сургууль,1,,15.0,368.0,40.0,,,,,,,,,,,,11898080.976742612,6092490.663201904,"11898080.976742612,6092490.663201904","(47.913586104731294, 106.88227993099613)"
13,132,3,16.0,3229.0,44-р сургууль,1,,93.0,3840.0,186.0,,,,,,,,,,,,11909045.179478472,6093663.867120746,"11909045.179478472,6093663.867120746","(47.92064944131005, 106.9807730399542)"
14,15,6,3.0,1602.0,Монгол-Оросын хамтарсан сургууль,1,,78.0,2222.0,213.0,,,,,,,,,,,,11900480.243348248,6092095.567849558,"11900480.243348248,6092095.567849558","(47.91120719510636, 106.90383290962134)"
15,181,3,27.0,2258.0,132-р бага сургууль,1,,9.0,207.0,31.0,,,,,,,,,,,,11904628.490964085,6097970.507331894,"11904628.490964085,6097970.507331894","(47.94656953140956, 106.94109725197751)"
16,9,6,5.0,844.0,6-р сургууль,1,,51.0,1904.0,114.0,,,,,,,,,,,,11899835.33892233,6091970.420259214,"11899835.33892233,6091970.420259214","(47.91045364582736, 106.89803963459534)"
17,158,3,8.0,3312.0,Хишиг сургууль,2,,21.0,436.0,44.0,,,,,,,,,,,,11909324.42159321,6092498.083169936,"11909324.42159321,6092498.083169936","(47.91363078007335, 106.9832815145506)"
18,244,7,5.0,840.0,Тусгал сургууль,2,,10.0,177.0,31.0,,,,,,,,,,,,11900587.882849185,6094397.09557773,"11900587.882849185,6094397.09557773","(47.92506339258578, 106.90479985171)"
19,195,5,3.0,3194.0,Орхон сургууль,2,,23.0,504.0,57.0,,,,,,,,,,,,11899564.128551211,6089818.474007066,"11899564.128551211,6089818.474007066","(47.89749444812752, 106.89560331037947)"
20,3,6,10.0,1632.0,3-р сургууль,1,,56.0,2646.0,114.0,,,,,,,,,,,,11902209.459195513,6095176.673547234,"11902209.459195513,6095176.673547234","(47.92975594951971, 106.91936671987271)"
21,152,3,6.0,1938.0,Арвис сургууль,2,,11.0,143.0,21.0,,,,,,,,,,,,11903931.659786653,6092735.94663182,"11903931.659786653,6092735.94663182","(47.91506292639002, 106.93483751100614)"
22,95,7,6.0,1429.0,50-р сургууль,1,,56.0,2148.0,111.0,,,,,,,,,,,,11900783.736492878,6094604.822235285,"11900783.736492878,6094604.822235285","(47.92631381479149, 106.9065592349258)"
23,212,6,2.0,755.0,Эрдмийн уурхай,2,,1.0,3.0,3.0,,,,,,,,,,,,11901198.29728962,6092095.715895508,"11901198.29728962,6092095.715895508","(47.91120808652668, 106.91028329792489)"
24,235,7,5.0,840.0,Олонлог эгзэ сургууль,2,,9.0,81.0,25.0,,,,,,,,,,,,11900436.9379107,6093679.442058551,"11900436.9379107,6093679.442058551","(47.92074320456578, 106.90344389025698)"
25,172,3,26.0,2701.0,Олонлог академи сургууль,2,,35.0,777.0,91.0,,,,,,,,,,,,11904268.267512582,6090573.0832338715,"11904268.267512582,6090573.0832338715","(47.902039136460445, 106.93786130965569)"
26,78,1,15.0,816.0,40-р сургууль,1,,69.0,2402.0,136.0,,,,,,,,,,,,11898340.271738706,6094453.5643877685,"11898340.271738706,6094453.5643877685","(47.92540331273039, 106.88460921757698)"
27,32,6,10.0,1632.0,Оюуны тулга сургууль,2,,17.0,210.0,28.0,,,,,,,,,,,,11902298.187116813,6095269.477987764,"11902298.187116813,6095269.477987764","(47.93031454408059, 106.92016377635103)"
28,229,5,3.0,3194.0,Арвист хангай сургууль,2,,5.0,72.0,10.0,,,,,,,,,,,,11899048.28655081,6089804.386808673,"11899048.28655081,6089804.386808673","(47.89740960316877, 106.89096942284796)"
29,126,3,6.0,1938.0,21-р сургууль,1,,44.0,1526.0,99.0,,,,,,,,,,,,11903587.74307116,6092712.370944366,"11903587.74307116,6092712.370944366","(47.914920981878026, 106.93174805458621)"
30,12,6,2.0,755.0,Өсвөрийн зохион бүтээгчдийн сургууль,1,,16.0,435.0,58.0,,,,,,,,,,,,11901237.904006237,6092577.61652461,"11901237.904006237,6092577.61652461","(47.91410964491986, 106.9106390911138)"
31,35,6,8.0,1188.0,Үй цай сургууль,2,,30.0,953.0,103.0,,,,,,,,,,,,11903235.98829147,6093563.618289871,"11903235.98829147,6093563.618289871","(47.920045925570236, 106.92858818763764)"
32,129,3,5.0,4199.0,Шавь цогцолбор сургууль /30-р сур/,1,,119.0,4651.0,222.0,,,,,,,,,,,,11906355.482128225,6093342.840711734,"11906355.482128225,6093342.840711734","(47.91871678057131, 106.95661107756038)"
33,155,3,4.0,3167.0,Их засаг сургууль,2,,25.0,481.0,38.0,,,,,,,,,,,,11905893.328031732,6094282.359833455,"11905893.328031732,6094282.359833455","(47.92437272141179, 106.95245947667539)"
34,86,1,18.0,2093.0,Оюуны ундраа цогцолбор сургууль,1,,107.0,4267.0,199.0,,,,,,,,,,,,11898466.460875556,6093676.26933789,"11898466.460875556,6093676.26933789","(47.92072410436727, 106.88574279388021)"
35,135,3,9.0,2707.0,"79-р сургууль /2,3-р байр/",1,,,,,,,,,,,,,,,,11912092.023913613,6095927.700250944,"11912092.023913613,6095927.700250944","(47.93427624359363, 107.00814330919842)"
36,6,6,10.0,1632.0,Ертөнц сургууль,2,,15.0,433.0,20.0,,,,,,,,,,,,11902435.67701789,6095465.754875456,"11902435.67701789,6095465.754875456","(47.931495924592696, 106.92139886914653)"
37,241,7,12.0,3077.0,138-р бага сургууль,1,,12.0,320.0,35.0,,,,,,,,,,,,11898599.045948582,6098717.94723709,"11898599.045948582,6098717.94723709","(47.95106677531268, 106.88693382585568)"
38,98,7,13.0,154.0,49-р сургууль,1,,39.0,1117.0,86.0,,,,,,,,,,,,11900441.239933262,6099692.862362649,"11900441.239933262,6099692.862362649","(47.95693211846645, 106.90348253598317)"
39,149,3,26.0,2701.0,Монгол тэмүүлэл,1,0.0,8.0,156.0,36.0,,,,,,,,,,,,11905733.345886061,6090956.859864925,"11905733.345886061,6090956.859864925","(47.904350305776155, 106.95102233260896)"
40,198,5,3.0,3194.0,Аварга сургууль,2,,7.0,221.0,21.0,,,,,,,,,,,,11899125.933212897,6089542.070352601,"11899125.933212897,6089542.070352601","(47.895829687413226, 106.89166693468108)"
41,213,6,2.0,755.0,Улаанбаатар элит ОУ-ын сургууль,2,,28.0,459.0,64.0,,,,,,,,,,,,11901230.014792792,6092350.271534133,"11901230.014792792,6092350.271534133","(47.91274080463124, 106.91056822110365)"
42,144,3,27.0,2258.0,102-р сургууль,1,,42.0,1316.0,85.0,,,,,,,,,,,,11903487.532804443,6096615.880682205,"11903487.532804443,6096615.880682205","(47.93841793039394, 106.93084785044404)"
43,167,3,25.0,2542.0,Төгсдэлгэрэх сургууль,2,,26.0,580.0,42.0,,,,,,,,,,,,11904251.320036048,6092093.335649363,"11904251.320036048,6092093.335649363","(47.91119375448943, 106.9377090678837)"
44,236,1,3.0,2351.0,Наран нэг сургууль,2,,18.0,353.0,41.0,,,,,,,,,,,,11899894.234909665,6091339.775837158,"11899894.234909665,6091339.775837158","(47.90665618921494, 106.8985687062513)"
45,184,5,15.0,4680.0,115-р сургууль,1,,53.0,1843.0,83.0,,,,,,,,,,,,11900119.172074355,6088959.798883404,"11900119.172074355,6088959.798883404","(47.89232253017001, 106.90058935118138)"
46,113,1,2.0,1444.0,Эрдмийн ач сургууль,2,,11.0,47.0,10.0,,,,,,,,,,,,11898430.312537447,6092940.163750387,"11898430.312537447,6092940.163750387","(47.916292460634764, 106.88541806783402)"
47,230,5,3.0,3194.0,Оном сургууль,2,,25.0,513.0,39.0,,,,,,,,,,,,11899065.73948129,6089742.311640616,"11899065.73948129,6089742.311640616","(47.89703573263355, 106.89112620518998)"
48,27,6,2.0,755.0,31-р сургууль,1,,41.0,1748.0,86.0,,,,,,,,,,,,11901016.719459746,6091870.658195395,"11901016.719459746,6091870.658195395","(47.90985294217278, 106.90865215652656)"
49,21,6,14.0,1128.0,35-р сургууль,1,,50.0,1597.0,111.0,,,,,,,,,,,,11902138.179535776,6101099.566895198,"11902138.179535776,6101099.566895198","(47.96539404572195, 106.91872640379484)"
50,127,3,3.0,1373.0,33-р сургууль,1,,80.0,3564.0,183.0,,,,,,,,,,,,11904527.860896174,6093975.834834422,"11904527.860896174,6093975.834834422","(47.92252749722498, 106.94019327669706)"
51,173,3,25.0,2542.0,Шинэ монгол технологийн коллеж,2,,10.0,244.0,23.0,,,,,,,,,,,,11904359.053394075,6092111.716758819,"11904359.053394075,6092111.716758819","(47.91130443148839, 106.93867685310495)"
52,107,1,17.0,1722.0,Лидер сургууль,2,,7.0,19.0,9.0,,,,,,,,,,,,11898967.098689435,6092996.23963101,"11898967.098689435,6092996.23963101","(47.91663007274043, 106.89024009988037)"
53,250,1,17.0,1722.0,Норовлин сургууль,2,,11.0,46.0,24.0,,,,,,,,,,,,11898917.178808464,6093170.823573776,"11898917.178808464,6093170.823573776","(47.91768116388481, 106.8897916619598)"
54,156,3,18.0,2278.0,Оюунлаг сургууль,2,,34.0,943.0,64.0,,,,,,,,,,,,11904336.003861364,6092970.038976998,"11904336.003861364,6092970.038976998","(47.916472328582024, 106.93846979562969)"
