,OBJECTID,Discrict,Khoroo,Khoroonii_surguuliin_nasnii_hun,School_name,Umchiin_helber,Huchin_chadal,Bulgiin_too,Student_number,Bagsh_ajilchidiin_too,Huyg,Zahiramjiin_dugaar,Uil_ajillagaa_ehlesen_on,Surguuliin_angilal,Surguuliin_hev_shinj,Barilgiin_ashiglaltand_orson,Surguuliin_zahiral,Utasnii_dugaar,Hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,x,y,xy,lat_lon
82,104,1,13.0,794.0,Гурван тамир сургууль,2,,19.0,325.0,44.0,,,,,,,,,,,,11897310.058160929,6094239.857567809,"11897310.058160929,6094239.857567809","(47.92411686951071, 106.87535465154875)"
83,4,6,9.0,1078.0,4-р сургууль,1,,43.0,1165.0,96.0,,,,,,,,,,,,11901524.063995386,6095204.091586775,"11901524.063995386,6095204.091586775","(47.929920980696515, 106.91320971003334)"
84,147,3,21.0,2238.0,127-р сургууль,1,,36.0,1250.0,80.0,,,,,,,,,,,,11905107.192703193,6098929.155914602,"11905107.192703193,6098929.155914602","(47.95233751818546, 106.94539750286526)"
85,247,7,5.0,840.0,Оюут сургууль,2,,5.0,57.0,7.0,,,,,,,,,,,,11900408.442720525,6094173.538193596,"11900408.442720525,6094173.538193596","(47.92371764266589, 106.90318791360839)"
86,165,3,4.0,3167.0,Русский лицей сургууль,2,,13.0,201.0,7.0,,,,,,,,,,,,11905563.140693685,6093537.577487706,"11905563.140693685,6093537.577487706","(47.91988915417122, 106.9494933533515)"
87,142,3,28.0,1735.0,120-р сургууль,1,,30.0,1071.0,66.0,,,,,,,,,,,,11919060.254330305,6093431.3188600065,"11919060.254330305,6093431.3188600065","(47.919249448764006, 107.07073998806422)"
88,211,6,2.0,755.0,Элбэг бага сургууль,2,,2.0,29.0,4.0,,,,,,,,,,,,11901054.510545036,6092031.958002427,"11901054.510545036,6092031.958002427","(47.91082418347416, 106.90899163962175)"
89,188,5,2.0,1899.0,75-р сургууль,1,,35.0,1043.0,83.0,,,,,,,,,,,,11900368.946997447,6090165.867414838,"11900368.946997447,6090165.867414838","(47.899586699462716, 106.90283311749141)"
90,234,5,11.0,3491.0,Абсолют элит ахлах сургууль,2,,3.0,51.0,11.0,,,,,,,,,,,,11901533.403639045,6086571.546430205,"11901533.403639045,6086571.546430205","(47.87793504178203, 106.91329360947984)"
91,125,3,13.0,2130.0,14-р сургууль,1,,87.0,3639.0,160.0,,,,,,,,,,,,11907865.678784078,6092786.120807834,"11907865.678784078,6092786.120807834","(47.91536501380037, 106.97017740494016)"
92,79,1,19.0,1074.0,47-р сургууль,1,,50.0,1649.0,101.0,,,,,,,,,,,,11897637.70792189,6093781.157479344,"11897637.70792189,6093781.157479344","(47.92135554113144, 106.87829797942985)"
93,19,6,7.0,1523.0,МУИС-ийн харьяа Байгаль эх лицей сургууль,1,,12.0,259.0,45.0,,,,,,,,,,,,11903282.047623532,6094481.3987748185,"11903282.047623532,6094481.3987748185","(47.92557086402911, 106.9290019456573)"
94,171,3,26.0,2701.0,Глобал ОУ-ын сургууль,2,,31.0,580.0,80.0,,,,,,,,,,,,11904993.807104005,6090908.238927738,"11904993.807104005,6090908.238927738","(47.904057507782966, 106.94437894269777)"
95,25,6,15.0,1300.0,"Эрдмийн хөтөч ЦС /58-р сур - 1,2-р байр/",1,,83.0,3154.0,208.0,,,,,,,,,,,,11903874.604374994,6103216.050241861,"11903874.604374994,6103216.050241861","(47.97812298351414, 106.93432497352278)"
96,36,6,11.0,2177.0,Монгол-Хятадын Найрамдал сургууль,2,,22.0,483.0,38.0,,,,,,,,,,,,11902748.70222544,6095796.314389817,"11902748.70222544,6095796.314389817","(47.93348548434307, 106.92421082242909)"
97,105,1,3.0,2351.0,Гэгээрэл сургууль,2,,15.0,223.0,34.0,,,,,,,,,,,,11899045.124580814,6092031.774249838,"11899045.124580814,6092031.774249838","(47.910823077047354, 106.89094101838819)"
98,228,1,2.0,1444.0,Эрдмийн хишиг сургууль,2,,5.0,31.0,6.0,,,,,,,,,,,,11897716.032728449,6093029.922248589,"11897716.032728449,6093029.922248589","(47.91683286224516, 106.8790015831384)"
99,205,5,3.0,3194.0,Шинэ өнөөдөр сургууль,2,,8.0,112.0,14.0,,,,,,,,,,,,11898520.404146912,6090371.372757437,"11898520.404146912,6090371.372757437","(47.90082435967885, 106.88622737453156)"
100,85,1,18.0,2093.0,Шинэ эхлэл сургууль,1,,14.0,304.0,46.0,,,,,,,,,,,,11898412.56655191,6093164.694525132,"11898412.56655191,6093164.694525132","(47.9176442640101, 106.88525865293364)"
101,136,3,8.0,3312.0,92-р сургууль,1,,57.0,1906.0,123.0,,,,,,,,,,,,11910774.477495054,6093585.64610828,"11910774.477495054,6093585.64610828","(47.92017853754699, 106.99630758834513)"
102,13,6,8.0,1188.0,ШУТИС-ийн харьяа ШУТАСургууль,1,,8.0,147.0,20.0,,,,,,,,,,,,11902509.727984047,6094406.330538471,"11902509.727984047,6094406.330538471","(47.925118983589314, 106.92206408029357)"
103,5,6,10.0,1632.0,16-р сургууль,1,,49.0,1587.0,97.0,,,,,,,,,,,,11902309.78709512,6095609.372968479,"11902309.78709512,6095609.372968479","(47.93236033742443, 106.92026798072912)"
104,242,7,11.0,1043.0,57-р сургууль,1,,43.0,1322.0,92.0,,,,,,,,,,,,11901216.86606974,6097112.769615009,"11901216.86606974,6097112.769615009","(47.94140815839925, 106.91045010411479)"
105,199,5,11.0,3491.0,Монгол билиг оюун сургууль,2,,38.0,865.0,67.0,,,,,,,,,,,,11904082.328122206,6088933.434535812,"11904082.328122206,6088933.434535812","(47.89216372591705, 106.93619098769274)"
106,248,7,4.0,919.0,СУИС-ийн харьяа Бадмаараг ахлах сургууль,1,,14.0,273.0,39.0,,,,,,,,,,,,11900981.16935593,6094200.603917833,"11900981.16935593,6094200.603917833","(47.9238805722547, 106.90833280451047)"
