,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
77,2014,1,18,,13-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108694000,Esri_Anonymous,1561108706000,,,,11897995.914768325,6093523.005342204,"11897995.914768325,6093523.005342204","(47.91980142641918, 106.88151580628013)"
78,1230,3,15,13-р хороолол,122-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903088000,Esri_Anonymous,1560903105000,,,,11904194.894990603,6092918.139771845,"11904194.894990603,6092918.139771845","(47.916159861815586, 106.93720219307639)"
79,1210,3,7,Сансар,204-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901944000,Esri_Anonymous,1560901974000,,,,11904985.926870856,6093987.673622482,"11904985.926870856,6093987.673622482","(47.92259876577639, 106.94430815335896)"
80,1233,3,6,Бөхийн өргөөнөөс урагш,136-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903203000,Esri_Anonymous,1560903228000,,,,11903905.97552958,6092679.489033072,"11903905.97552958,6092679.489033072","(47.914723005798145, 106.93460678539924)"
81,855,6,6,Метромолл дэлгүүрийн замын урд,14-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851213000,Esri_Anonymous,1560851265000,,,,11901802.586380774,6094448.766454763,"11901802.586380774,6094448.766454763","(47.92537443113762, 106.91571171919101)"
82,849,6,3,,68-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560850843000,Esri_Anonymous,1560850937000,,,,11899886.274905276,6092113.980973815,"11899886.274905276,6092113.980973815","(47.91131806484496, 106.89849720031525)"
83,1204,6,15,58-р сургуулийн баруун талд,36-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901484000,Esri_Anonymous,1560901501000,,,,11903676.595132403,6103144.690500374,"11903676.595132403,6103144.690500374","(47.97769386341793, 106.93254622623262)"
84,1605,7,13,13-р хорооны баруун талд,56-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996187000,Esri_Anonymous,1560996215000,,,,11901568.916508423,6098153.159019478,"11901568.916508423,6098153.159019478","(47.94766855781747, 106.9136126270133)"
85,866,6,11,Хангай хотхон,216-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851773000,Esri_Anonymous,1560851799000,,,,11902434.74804858,6096042.748795887,"11902434.74804858,6096042.748795887","(47.934968665104286, 106.92139052407325)"
86,1625,7,11,57-р сургуулийн ард,258-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560999550000,Esri_Anonymous,1560999573000,,,,11901047.875754269,6097179.974153313,"11901047.875754269,6097179.974153313","(47.94181257532536, 106.90893203828223)"
87,1221,3,20,Гацуурт,63-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902576000,Esri_Anonymous,1560902600000,,,,11928344.506242538,6094883.914140476,"11928344.506242538,6094883.914140476","(47.927993776496905, 107.15414184200797)"
88,2003,1,11,28-р сургуулийн баруун хойно,30-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561107108000,Esri_Anonymous,1561107133000,,,,11898114.002081178,6095025.943423398,"11898114.002081178,6095025.943423398","(47.92884868452144, 106.88257660266008)"
89,1241,7,1,Хангарьд ордны баруун талд,5-р хороо,1,,1,3,,,,,,,,,Esri_Anonymous,1560903773000,Esri_Anonymous,1560903797000,,,,11901585.938521726,6093300.457017422,"11901585.938521726,6093300.457017422","(47.91846161454234, 106.91376553836045)"
90,1619,7,4,Дүүргийн ЗДТГ-ын урд,9-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560998163000,Esri_Anonymous,1560998196000,,,,11900856.03932751,6093733.944203782,"11900856.03932751,6093733.944203782","(47.921071313596386, 106.90720874234015)"
91,1227,3,19,Газарчин ДС өгсөх замд,168-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902911000,Esri_Anonymous,1560902971000,,,,11909672.259359177,6094494.056371212,"11909672.259359177,6094494.056371212","(47.925647057254196, 106.98640619436621)"
92,2011,1,17,,242-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108520000,Esri_Anonymous,1561108535000,,,,11898751.030858662,6093667.368773809,"11898751.030858662,6093667.368773809","(47.92067052175521, 106.88829912953247)"
93,2017,1,18,,162-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108901000,Esri_Anonymous,1561108916000,,,,11898613.685944526,6093550.235244126,"11898613.685944526,6093550.235244126","(47.91996535672884, 106.88706533917683)"
94,1614,7,18,Яргайтын 33,247-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560997508000,Esri_Anonymous,1560997543000,,,,11900605.985108968,6102017.60422054,"11900605.985108968,6102017.60422054","(47.97091568402426, 106.90496246707639)"
95,1236,3,22,Монел,169-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903419000,Esri_Anonymous,1560903439000,,,,11907528.861385757,6095057.118974823,"11907528.861385757,6095057.118974823","(47.92903633568676, 106.96715172277148)"
96,1213,3,5,БЗД-ийн Нэгдсэн эмнэлэгийн баруун хойно,128-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902128000,Esri_Anonymous,1560902151000,,,,11907087.965980263,6093479.473270017,"11907087.965980263,6093479.473270017","(47.919539352193716, 106.96319109195693)"
97,850,6,3,,160-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560850952000,Esri_Anonymous,1560850974000,,,,11900168.981311796,6092062.785272228,"11900168.981311796,6092062.785272228","(47.91100980293361, 106.90103679517422)"
98,2424,3,22,,213-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279512000,Esri_Anonymous,1561279526000,,,,11907851.11310862,6097209.179779883,"11907851.11310862,6097209.179779883","(47.941988325114615, 106.9700465592513)"
99,1608,7,15,49-р сургуулийн ард,83-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996421000,Esri_Anonymous,1560996454000,,,,11900289.213928299,6099880.771312066,"11900289.213928299,6099880.771312066","(47.95806255108836, 106.90211686314476)"
100,864,6,10,16-р сургуулийн зүүн талд,69-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851686000,Esri_Anonymous,1560851719000,,,,11902517.753885826,6095674.597088212,"11902517.753885826,6095674.597088212","(47.93275290551686, 106.92213617819593)"
101,2433,6,17,,175-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561280845000,Esri_Anonymous,1561280861000,,,,11904228.789995622,6104990.394624745,"11904228.789995622,6104990.394624745","(47.98879181407904, 106.93750667708703)"
102,1205,6,16,Тосгоны эцсийн буудал,171-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901548000,Esri_Anonymous,1560901588000,,,,11906571.848945055,6103971.069317196,"11906571.848945055,6103971.069317196","(47.982663054135344, 106.95855473374573)"
