,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
675,554,,,9,149,,11898464.645822825,6101387.524340191,"11898464.645822825,6101387.524340191","(47.96712606156508, 106.88572648898412)"
676,726,,,4,35,,11906057.184060931,6093254.146786981,"11906057.184060931,6093254.146786981","(47.918182807827314, 106.95393142042964)"
677,775,,,4,35,,11906632.780875428,6095555.617861897,"11906632.780875428,6095555.617861897","(47.93203679628889, 106.95910209458917)"
678,1316,,,8,132,,11902135.636101427,6090361.482958892,"11902135.636101427,6090361.482958892","(47.90076479883833, 106.91870355573533)"
679,1857,,,4,39,,11911901.957249846,6096099.634524237,"11911901.957249846,6096099.634524237","(47.93531102934581, 107.00643591130779)"
680,42,,,3,18,,11897475.480517803,6095193.736377005,"11897475.480517803,6095193.736377005","(47.92985865199665, 106.87684066586388)"
681,291,,,9,151,,11900492.35441842,6102191.307486173,"11900492.35441842,6102191.307486173","(47.97196037535322, 106.90394170521574)"
682,540,,,9,143,,11899517.259819362,6096691.42434589,"11899517.259819362,6096691.42434589","(47.93887255577093, 106.89518228139778)"
683,1287,,,9,136,,11900246.437274255,6093113.216057726,"11900246.437274255,6093113.216057726","(47.91733433738455, 106.90173259392344)"
684,1536,,,9,150,,11899445.122375699,6103017.782854555,"11899445.122375699,6103017.782854555","(47.97693069851778, 106.8945342597158)"
685,1928,Ж.Х.Д гудамж ,0,3,24,,11898816.431566453,6093181.292739578,"11898816.431566453,6093181.292739578","(47.91774419332962, 106.88888663408648)"
686,2106,Нандин мини маркет,0,7,108,,11903258.288818402,6096214.8873521285,"11903258.288818402,6096214.8873521285","(47.93600466644691, 106.92878851667952)"
687,5,,,3,9,,11898500.214486528,6092731.030911256,"11898500.214486528,6092731.030911256","(47.91503332984907, 106.88604600772652)"
688,242,,,9,144,,11901289.64337731,6096844.298450034,"11901289.64337731,6096844.298450034","(47.93979254720223, 106.91110387379206)"
689,254,Болор хүнсний дэлгүүр,,9,145,,11899545.923706073,6098568.908891895,"11899545.923706073,6098568.908891895","(47.95017006316592, 106.89543977347314)"
690,1324,Хангайн 3-117,99889591,7,109,,11903001.971598865,6096625.964935956,"11903001.971598865,6096625.964935956","(47.93847861814595, 106.92648597992059)"
691,1914,,,3,10,,11899436.726690965,6092338.096760804,"11899436.726690965,6092338.096760804","(47.91266749950836, 106.89445883999662)"
692,2071,цахиурт эрдэнэ ,99190121,7,105,,11902626.815527735,6094551.784774571,"11902626.815527735,6094551.784774571","(47.92599455571113, 106.92311589559432)"
693,56,,,3,23,,11899696.40919445,6093201.5963014215,"11899696.40919445,6093201.5963014215","(47.917866430379256, 106.89679160761561)"
694,646,,,4,34,,11905764.210392712,6096492.966737918,"11905764.210392712,6096492.966737918","(47.93767821986139, 106.95129959318957)"
695,732,,,4,35,,11906488.072960194,6093605.577975238,"11906488.072960194,6093605.577975238","(47.920298531173934, 106.95780216126931)"
696,1728,,,4,56,,11903975.203267882,6091338.4436878795,"11903975.203267882,6091338.4436878795","(47.9066481673172, 106.93522866875324)"
697,2355,21-байр  ,99070705,7,103,,11901915.56119671,6094792.442046218,"11901915.56119671,6094792.442046218","(47.92744317673069, 106.91672658922977)"
698,1622,Мөн чанар хүнсний дэлгүүр,,9,145,,11900368.50258077,6097702.124902822,"11900368.50258077,6097702.124902822","(47.944954615474245, 106.90282912522846)"
699,1628,,,8,119,,11900227.417694224,6090779.497986522,"11900227.417694224,6090779.497986522","(47.90328221466217, 106.90156173812906)"
700,1865,,,4,39,,11912089.168254508,6095807.919892743,"11912089.168254508,6095807.919892743","(47.93355533373698, 107.00811765637621)"
701,1871,,,4,39,,11912049.755397951,6096825.189160209,"11912049.755397951,6096825.189160209","(47.939677549007286, 107.00776360466186)"
702,2114,Шавгийн овоо,0,7,108,,11902198.214880887,6095596.225130888,"11902198.214880887,6095596.225130888","(47.93228120343098, 106.91926571047586)"
703,2120,Хэрбалайф дэлгүүр,77008890,7,100,,11900328.754759789,6091732.870719411,"11900328.754759789,6091732.870719411","(47.90902326222195, 106.90247206447751)"
704,2363,,,7,108,,11902175.224642495,6095891.95126012,"11902175.224642495,6095891.95126012","(47.93406108583149, 106.91905918565051)"
705,348,,,4,58,,11917519.523571825,6092852.852322085,"11917519.523571825,6092852.852322085","(47.91576678648148, 107.05689936817366)"
706,1473,,,4,52,,11907824.20322241,6094228.718949805,"11907824.20322241,6094228.718949805","(47.92404981789727, 106.96980482363054)"
707,1479,,,4,52,,11907979.794353431,6095236.732127855,"11907979.794353431,6095236.732127855","(47.930117445803795, 106.97120252254123)"
708,1522,,,4,44,,11906006.415266162,6092288.532104906,"11906006.415266162,6092288.532104906","(47.91236906633482, 106.95347535658667)"
709,2020,Сургуулийн 43-906а  Эмээлцэг ХХК ,91887821,9,146,,11900580.441165345,6099708.2983488925,"11900580.441165345,6099708.2983488925","(47.957024980023434, 106.90473300192667)"
710,248,,,9,144,,11900348.512466716,6097319.641173794,"11900348.512466716,6097319.641173794","(47.94265303980032, 106.90264955097862)"
711,740,,,4,35,,11906848.426844643,6093889.529516948,"11906848.426844643,6093889.529516948","(47.92200794319221, 106.96103927529022)"
712,1330,,,8,132,,11902833.193644095,6090939.537980372,"11902833.193644095,6090939.537980372","(47.904245992612026, 106.92496982175666)"
713,1573,,,3,8,,11898332.569832023,6091860.962494303,"11898332.569832023,6091860.962494303","(47.909794560459886, 106.8845400301721)"
714,2163,содном 50-р байр ,0,7,105,,11902383.984326584,6094687.3410994075,"11902383.984326584,6094687.3410994075","(47.92681053330913, 106.92093450579976)"
715,99,,,7,113,,11905145.458519898,6103465.655974993,"11905145.458519898,6103465.655974993","(47.97962395355498, 106.94574125054532)"
716,640,,,4,34,,11905354.451077035,6093965.170375409,"11905354.451077035,6093965.170375409","(47.92246329795588, 106.94761866262876)"
717,1771,,,4,45,,11904833.337608332,6093113.813137131,"11904833.337608332,6093113.813137131","(47.91733793211768, 106.94293742069179)"
718,285,,,9,151,,11900883.571683856,6101989.465903756,"11900883.571683856,6101989.465903756","(47.97074645173636, 106.90745606970528)"
719,546,,,9,149,,11899007.804088082,6100981.4525772985,"11899007.804088082,6100981.4525772985","(47.96468359106806, 106.89060576269789)"
720,1542,,,4,52,,11907538.758611616,6096403.591244833,"11907538.758611616,6096403.591244833","(47.937140341016104, 106.96724063106406)"
721,1613,Зөгийн бал хүнсний дэлгүүр,99030113,9,145,,11898406.817889094,6099342.833804568,"11898406.817889094,6099342.833804568","(47.95482633215954, 106.88520701181692)"
722,1874,,,4,39,,11911232.7926186,6096328.945646491,"11911232.7926186,6096328.945646491","(47.93669110521185, 107.00042470314939)"
723,2206,Нэг төгрөг хүнсний дэлгүүр,0,9,145,,11899265.975054948,6098647.734543279,"11899265.975054948,6098647.734543279","(47.9506443317703, 106.89292495195238)"
